path	status	expected	reason
gcc/testsuite/gcc.dg/c99-stdint-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-3.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-4.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-5.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-6.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-7.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-stdint-8.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-tag-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-tag-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-tag-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-tag-4.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-tag-5.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: sema-error
gcc/testsuite/gcc.dg/c99-tag-6.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: sema-error
gcc/testsuite/gcc.dg/c99-tgmath-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-tgmath-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-tgmath-3.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-tgmath-4.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-thread-local-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-typedef-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-typespec-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-version-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-vla-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-vla-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-vla-jump-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-vla-jump-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-vla-jump-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-vla-jump-4.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-vla-jump-5.c	skipped	reject	current semantic layer accepts this GCC reject case
